#Al
#Energy	LinAtten
2.080733E+00  5.4838E+03
2.224304E+00  4.5961E+03
2.377781E+00  3.8582E+03
2.541848E+00  3.2426E+03
2.717235E+00  2.7248E+03
2.904724E+00  2.2882E+03
3.105150E+00  1.9146E+03
3.319406E+00  1.5873E+03
3.548445E+00  1.3154E+03
3.793288E+00  1.0902E+03
4.055024E+00  9.0368E+02
4.334821E+00  7.4915E+02
4.633924E+00  6.2112E+02
4.953664E+00  5.1506E+02
5.295467E+00  4.2715E+02
5.660855E+00  3.5430E+02
6.051453E+00  2.9393E+02
6.469004E+00  2.4389E+02
6.915365E+00  2.0189E+02
7.392525E+00  1.6634E+02
7.902609E+00  1.3709E+02
8.447890E+00  1.1303E+02
9.030794E+00  9.3043E+01
9.653919E+00  7.6127E+01
1.032004E+01  6.2317E+01
1.103212E+01  5.1040E+01
1.179334E+01  4.1831E+01
1.260708E+01  3.4307E+01
1.347697E+01  2.8164E+01
1.440688E+01  2.3141E+01
1.540095E+01  1.9036E+01
1.646362E+01  1.5679E+01
1.759961E+01  1.2934E+01
1.881398E+01  1.0688E+01
2.011215E+01  8.8504E+00
2.149988E+01  7.3452E+00
2.298338E+01  6.1126E+00
2.456923E+01  5.1024E+00
2.626450E+01  4.2742E+00
2.807676E+01  3.5821E+00
3.001405E+01  3.0131E+00
3.208502E+01  2.5482E+00
3.429889E+01  2.1654E+00
3.666551E+01  1.8501E+00
3.919543E+01  1.5927E+00
4.189992E+01  1.3823E+00
4.479101E+01  1.2101E+00
4.788159E+01  1.0688E+00
5.118542E+01  9.5261E-01
5.471721E+01  8.5680E-01
5.849270E+01  7.7760E-01
6.252870E+01  7.1186E-01
6.684318E+01  6.5706E-01
7.145536E+01  6.1118E-01
7.638578E+01  5.7252E-01
8.165640E+01  5.3974E-01
8.729069E+01  5.1174E-01
9.331374E+01  4.8763E-01
9.975239E+01  4.6665E-01
1.066353E+02  4.4819E-01
1.139931E+02  4.3181E-01
1.218587E+02  4.1710E-01
1.302669E+02  4.0376E-01
1.392553E+02  3.9151E-01
1.488640E+02  3.8014E-01
1.591356E+02  3.6952E-01
1.701159E+02  3.5945E-01
1.818539E+02  3.4986E-01
1.944018E+02  3.4064E-01
2.078156E+02  3.3175E-01
2.221548E+02  3.2310E-01
2.374835E+02  3.1467E-01
2.538699E+02  3.0643E-01
2.713869E+02  2.9832E-01
2.901126E+02  2.9037E-01
3.101304E+02  2.8250E-01
3.315294E+02  2.7477E-01
3.544049E+02  2.6713E-01
3.788588E+02  2.5959E-01
4.050001E+02  2.5215E-01
4.329451E+02  2.4480E-01
