#Pb
#Energy	LinAtten
2.0004844E+00  1.3412E+04
2.0104868E+00  1.3272E+04
2.0205393E+00  1.3133E+04
2.0306420E+00  1.2996E+04
2.0407952E+00  1.2860E+04
2.0509992E+00  1.2726E+04
2.0612542E+00  1.2593E+04
2.0715604E+00  1.2462E+04
2.0819182E+00  1.2332E+04
2.0923278E+00  1.2204E+04
2.1027895E+00  1.2077E+04
2.1133034E+00  1.1951E+04
2.1238699E+00  1.1827E+04
2.1344893E+00  1.1705E+04
2.1451617E+00  1.1584E+04
2.1558875E+00  1.1464E+04
2.1666670E+00  1.1346E+04
2.1775003E+00  1.1228E+04
2.1883878E+00  1.1112E+04
2.1993297E+00  1.0998E+04
2.2103264E+00  1.0885E+04
2.2213780E+00  1.0773E+04
2.2324849E+00  1.0662E+04
2.2436473E+00  1.0552E+04
2.2548656E+00  1.0444E+04
2.2661399E+00  1.0337E+04
2.2774706E+00  1.0231E+04
2.2888579E+00  1.0127E+04
2.3003022E+00  1.0023E+04
2.3118037E+00  9.9205E+03
2.3233628E+00  9.8194E+03
2.3349796E+00  9.7192E+03
2.3466545E+00  9.6203E+03
2.3583878E+00  9.5224E+03
2.3701797E+00  9.4255E+03
2.3820306E+00  9.3298E+03
2.3939407E+00  9.2351E+03
2.4059104E+00  9.1415E+03
2.4179400E+00  9.0488E+03
2.4300297E+00  8.9573E+03
2.4421798E+00  8.8667E+03
2.4543907E+00  8.7771E+03
2.4666627E+00  8.6885E+03
2.4789960E+00  8.6009E+03
2.4833243E+00  8.5705E+03
2.4846756E+00  2.4292E+04
2.4913910E+00  2.4131E+04
2.5038479E+00  2.3837E+04
2.5163672E+00  2.3546E+04
2.5289490E+00  2.3259E+04
2.5415938E+00  2.2976E+04
2.5543017E+00  2.2696E+04
2.5670732E+00  2.2421E+04
2.5799086E+00  2.2148E+04
2.5848604E+00  2.2044E+04
2.5863394E+00  3.2041E+04
2.5928082E+00  3.1841E+04
2.6057722E+00  3.1441E+04
2.6188011E+00  3.1046E+04
2.6318951E+00  3.0657E+04
2.6450545E+00  3.0271E+04
2.6582798E+00  2.9892E+04
2.6715712E+00  2.9518E+04
2.6849291E+00  2.9148E+04
2.6983537E+00  2.8782E+04
2.7118455E+00  2.8420E+04
2.7254047E+00  2.8063E+04
2.7390317E+00  2.7710E+04
2.7527269E+00  2.7362E+04
2.7664905E+00  2.7019E+04
2.7803230E+00  2.6680E+04
2.7942246E+00  2.6346E+04
2.8081957E+00  2.6016E+04
2.8222367E+00  2.5690E+04
2.8363479E+00  2.5368E+04
2.8505296E+00  2.5049E+04
2.8647823E+00  2.4737E+04
2.8791062E+00  2.4427E+04
2.8935017E+00  2.4122E+04
2.9079692E+00  2.3820E+04
2.9225091E+00  2.3522E+04
2.9371216E+00  2.3229E+04
2.9518072E+00  2.2939E+04
2.9665662E+00  2.2652E+04
2.9813991E+00  2.2370E+04
2.9963061E+00  2.2091E+04
3.0112876E+00  2.1803E+04
3.0263440E+00  2.1515E+04
3.0414758E+00  2.1231E+04
3.0566831E+00  2.0950E+04
3.0632417E+00  2.0830E+04
3.0695584E+00  2.4331E+04
3.0719666E+00  2.4279E+04
3.0873264E+00  2.3949E+04
3.1027630E+00  2.3625E+04
3.1182768E+00  2.3305E+04
3.1338682E+00  2.2989E+04
3.1495376E+00  2.2676E+04
3.1652853E+00  2.2369E+04
3.1811117E+00  2.2065E+04
3.1970172E+00  2.1766E+04
3.2130023E+00  2.1470E+04
3.2290673E+00  2.1189E+04
3.2452127E+00  2.0912E+04
3.2614387E+00  2.0638E+04
3.2777459E+00  2.0369E+04
3.2941347E+00  2.0104E+04
3.3106053E+00  1.9843E+04
3.3271584E+00  1.9587E+04
3.3437941E+00  1.9335E+04
3.3605131E+00  1.9087E+04
3.3773157E+00  1.8840E+04
3.3942023E+00  1.8596E+04
3.4111733E+00  1.8356E+04
3.4282291E+00  1.8120E+04
3.4453703E+00  1.7887E+04
3.4625971E+00  1.7658E+04
3.4799101E+00  1.7432E+04
3.4973097E+00  1.7210E+04
3.5147962E+00  1.6990E+04
3.5323702E+00  1.6774E+04
3.5490108E+00  1.6574E+04
3.5500321E+00  1.6561E+04
3.5593891E+00  1.7605E+04
3.5677822E+00  1.7497E+04
3.5856211E+00  1.7270E+04
3.6035492E+00  1.7046E+04
3.6215670E+00  1.6826E+04
3.6396748E+00  1.6610E+04
3.6578732E+00  1.6396E+04
3.6761626E+00  1.6185E+04
3.6945434E+00  1.5976E+04
3.7130161E+00  1.5771E+04
3.7315812E+00  1.5570E+04
3.7502391E+00  1.5377E+04
3.7689903E+00  1.5187E+04
3.7878352E+00  1.4999E+04
3.8067744E+00  1.4814E+04
3.8258083E+00  1.4633E+04
3.8424209E+00  1.4476E+04
3.8449373E+00  1.4453E+04
3.8589789E+00  1.4954E+04
3.8641620E+00  1.4907E+04
3.8834828E+00  1.4729E+04
3.9029002E+00  1.4553E+04
3.9224147E+00  1.4381E+04
3.9420268E+00  1.4210E+04
3.9617369E+00  1.4042E+04
3.9815456E+00  1.3877E+04
4.0014533E+00  1.3710E+04
4.0214606E+00  1.3546E+04
4.0415679E+00  1.3384E+04
4.0617757E+00  1.3223E+04
4.0820846E+00  1.3065E+04
4.1024950E+00  1.2909E+04
4.1230075E+00  1.2755E+04
4.1436226E+00  1.2602E+04
4.1643407E+00  1.2453E+04
4.1851624E+00  1.2304E+04
4.2060882E+00  1.2158E+04
4.2271186E+00  1.2013E+04
4.2482542E+00  1.1870E+04
4.2694955E+00  1.1730E+04
4.2908430E+00  1.1592E+04
4.3122972E+00  1.1453E+04
4.3338587E+00  1.1318E+04
4.3555280E+00  1.1185E+04
4.3773056E+00  1.1053E+04
4.3991921E+00  1.0922E+04
4.4211881E+00  1.0793E+04
4.4432940E+00  1.0666E+04
4.4655105E+00  1.0541E+04
4.4878381E+00  1.0416E+04
4.5102772E+00  1.0294E+04
4.5328286E+00  1.0173E+04
4.5554928E+00  1.0053E+04
4.5782702E+00  9.9352E+03
4.6011616E+00  9.8185E+03
4.6241674E+00  9.7029E+03
4.6472882E+00  9.5872E+03
4.6705247E+00  9.4730E+03
4.6938773E+00  9.3601E+03
4.7173467E+00  9.2486E+03
4.7409334E+00  9.1384E+03
4.7646381E+00  9.0296E+03
4.7884613E+00  8.9219E+03
4.8124036E+00  8.8158E+03
4.8364656E+00  8.7107E+03
4.8606479E+00  8.6069E+03
4.8849512E+00  8.5045E+03
